ngram,count,rate_per_10000
had been,443,41.05120744296384
would be,131,12.139296106158607
his eyes,100,9.266638248976037
his head,99,9.173971866486276
his face,76,7.042645069221788
all right,75,6.9499786867320275
his hands,75,6.9499786867320275
his own,71,6.579313156772986
from his,69,6.393980391793465
would have,66,6.1159812443241846
his mouth,65,6.023314861834423
over his,64,5.930648479344664
had come,63,5.837982096854903
have been,60,5.559982949385622
his hand,57,5.281983801916341
out his,55,5.096651036936819
there were,55,5.096651036936819
his mind,53,4.911318271957299
his father,52,4.818651889467539
into his,52,4.818651889467539
