pattern,count
NOUN+VERB,8520
NOUN+NOUN,8276
VERB+NOUN,6976
ADJ+NOUN,5191
VERB+ADJ,3101
VERB+VERB,2901
NOUN+ADJ,2123
PROPN+PROPN,1587
ADV+VERB,1330
ADJ+ADJ,1288
VERB+ADV,1236
NOUN+ADV,1169
NOUN+PROPN,1162
VERB+PROPN,1057
PROPN+VERB,962
PROPN+NOUN,910
ADJ+VERB,778
NOUN+AUX,706
ADV+ADJ,625
NOUN+PRON,499
