pattern,count
NOUN+NOUN,10504
NOUN+VERB,9820
VERB+NOUN,8073
ADJ+NOUN,5831
VERB+ADJ,3346
VERB+VERB,2936
NOUN+ADJ,2403
PROPN+PROPN,1660
ADV+VERB,1421
VERB+ADV,1403
NOUN+ADV,1315
ADJ+ADJ,1306
NOUN+PROPN,1281
VERB+PROPN,1089
PROPN+NOUN,1029
PROPN+VERB,930
ADJ+VERB,849
NOUN+AUX,809
ADV+ADJ,666
ADV+NOUN,649
